user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
6644,4,0.4674999862909317,0.8870285153388977,10.0,0.0,0.0,0.0,0.0,0.0,0.0,732.25,664.5,-67.75,Q2
6645,4,0.4924999945797026,0.8767003566026688,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.75,750.75,-382.0,Q2
6646,4,0.7324999794363976,0.8969511985778809,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.5,202.5,-823.0,Q4
6647,4,0.44999999552965164,0.8910381346940994,10.0,0.0,0.0,0.0,0.0,0.0,0.0,318.75,212.5,-106.25,Q1
6648,4,0.5012499801814556,0.8887453377246857,10.0,0.0,0.09671320766210556,-0.09671320766210556,0.0,0.25,-0.25,661.5,1262.5,601.0,Q2
6649,4,0.5049999924376607,0.8784325420856476,10.0,0.09671320766210556,0.15773244202136993,-0.061019234359264374,0.25,0.25,0.0,190.0,350.0,160.0,Q2
6650,4,0.7874999865889549,0.9113252013921738,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.75,1988.5,871.75,Q4
6651,4,0.6824999675154686,0.8814532458782196,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,2873.0,1181.0,Q3
6652,4,0.9074999839067459,0.8946739286184311,10.0,0.0,0.0,0.0,0.0,0.0,0.0,609.25,312.75,-296.5,Q4
6653,4,0.2949999924749136,0.8831110894680023,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.5,1927.75,-79.75,Q1
6654,4,0.5312499850988388,0.8840569406747818,10.0,0.0,0.0,0.0,0.0,0.0,0.0,422.75,128.0,-294.75,Q2
6655,4,0.4574999804608524,0.8848101943731308,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1539.5,970.0,-569.5,Q1
6656,4,0.28874998539686203,0.8628363013267517,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.5,2227.75,-239.75,Q1
6657,4,0.702499981969595,0.8910039961338043,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3443.0,968.25,-2474.75,Q4
6658,4,0.942499965429306,0.8882526159286499,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.5,1670.0,-43.5,Q4
6659,4,0.6412499696016312,0.8893465399742126,10.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,622.75,316.75,Q3
6660,4,0.8687499761581421,0.9077367335557938,10.0,0.0,0.0,0.0,0.0,0.0,0.0,193.5,162.25,-31.25,Q4
