user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
95,4,0.5462499968707561,0.866858646273613,10.0,0.0,0.32886622101068497,-0.32886622101068497,0.0,0.5,-0.5,414.25,133.5,-280.75,Q1
96,4,0.8724999725818634,0.8888690024614334,10.0,0.0833333358168602,0.0,0.0833333358168602,0.25,0.0,0.25,52.75,38.25,-14.5,Q4
97,4,0.9374999701976776,0.8953860700130463,10.0,0.0,0.0,0.0,0.0,0.0,0.0,149.75,328.5,178.75,Q4
98,4,0.8699999898672104,0.8819511085748672,10.0,0.0,0.3975237086415291,-0.3975237086415291,0.0,0.75,-0.75,149.5,8.5,-141.0,Q3
99,4,0.5874999910593033,0.8708135932683945,10.0,0.0,0.0,0.0,0.0,0.0,0.0,356.5,282.0,-74.5,Q1
100,4,0.9049999862909317,0.8932918608188629,10.0,0.0,0.0,0.0,0.0,0.0,0.0,653.5,919.25,265.75,Q4
101,4,0.8374999910593033,0.8696596473455429,10.0,0.0,0.15773244202136993,-0.15773244202136993,0.0,0.25,-0.25,176.75,95.0,-81.75,Q3
102,4,0.8549999892711639,0.8946091383695602,10.0,0.09671320766210556,0.0833333358168602,0.013379871845245361,0.25,0.25,0.0,893.75,329.5,-564.25,Q3
103,4,0.6612499877810478,0.8824767619371414,10.0,0.07886622101068497,0.0,0.07886622101068497,0.25,0.0,0.25,60.25,83.75,23.5,Q2
104,4,0.9162499755620956,0.8891845941543579,10.0,0.15773244202136993,0.125,0.032732442021369934,0.25,0.25,0.0,67.75,204.25,136.5,Q4
105,4,0.8612499833106995,0.868933916091919,10.0,0.0,0.0,0.0,0.0,0.0,0.0,58.75,42.5,-16.25,Q3
106,4,0.689999982714653,0.8852726072072983,10.0,0.125,0.5808664709329605,-0.4558664709329605,0.25,1.0,-0.75,247.5,2.5,-245.0,Q2
107,4,0.8612499833106995,0.896452397108078,10.0,0.0,0.08905179798603058,-0.08905179798603058,0.0,0.25,-0.25,282.0,109.0,-173.0,Q3
108,4,0.8212499842047691,0.899075374007225,10.0,0.10766914486885071,0.1643093004822731,-0.056640155613422394,0.25,0.5,-0.25,32.5,9.5,-23.0,Q3
109,4,0.8899999856948853,0.8892922699451447,10.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,192.25,-5.75,Q4
110,4,0.982499971985817,0.9001118689775467,10.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,466.0,397.5,Q4
111,4,0.5824999921023846,0.8710722327232361,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.0,1741.5,236.5,Q1
112,4,0.762499988079071,0.8904068917036057,10.0,0.0,0.0,0.0,0.0,0.0,0.0,835.25,489.75,-345.5,Q2
113,4,0.9762499779462814,0.8833698630332947,10.0,0.18576500564813614,0.07525750249624252,0.11050750315189362,0.5,0.25,0.25,177.5,81.75,-95.75,Q4
114,4,0.8599999696016312,0.8870584517717361,10.0,0.10766914486885071,0.10766914486885071,0.0,0.25,0.25,0.0,53.75,36.25,-17.5,Q3
115,4,0.836249977350235,0.8902034014463425,10.0,0.0,0.21533828973770142,-0.21533828973770142,0.0,0.5,-0.5,127.25,46.25,-81.0,Q3
116,4,0.679999977350235,0.8721675872802734,10.0,0.0,0.09671320766210556,-0.09671320766210556,0.0,0.25,-0.25,285.5,92.25,-193.25,Q2
117,4,0.7849999815225601,0.8776604235172272,10.0,0.0,0.08905179798603058,-0.08905179798603058,0.0,0.25,-0.25,299.75,539.25,239.5,Q3
118,4,0.7424999848008156,0.8813609778881073,10.0,0.29291801899671555,0.49106577783823013,-0.1981477588415146,0.75,0.75,0.0,227.25,69.5,-157.75,Q2
119,4,0.7837499976158142,0.8827871829271317,10.0,0.15773244202136993,0.15773244202136993,0.0,0.25,0.25,0.0,219.75,140.25,-79.5,Q3
120,4,0.434999980032444,0.876139298081398,10.0,0.10766914486885071,0.5327324420213699,-0.4250632971525192,0.25,0.75,-0.5,20.75,5.5,-15.25,Q1
121,4,0.6099999770522118,0.8773633241653442,10.0,0.0,0.0,0.0,0.0,0.0,0.0,539.25,357.5,-181.75,Q1
122,4,0.8349999710917473,0.8925841599702835,10.0,0.0,0.0,0.0,0.0,0.0,0.0,177.25,329.5,152.25,Q3
123,4,0.45249998196959496,0.8732587546110153,10.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,286.0,-648.0,Q1
124,4,0.5924999886192381,0.8809544742107391,10.0,0.0,0.07226620614528656,-0.07226620614528656,0.0,0.25,-0.25,607.75,260.5,-347.25,Q1
125,4,0.8899999856948853,0.9008916616439819,10.0,0.0,0.0833333358168602,-0.0833333358168602,0.0,0.25,-0.25,409.5,156.0,-253.5,Q4
126,4,0.8124999850988388,0.8823138177394867,10.0,0.0,0.09671320766210556,-0.09671320766210556,0.0,0.25,-0.25,373.5,264.25,-109.25,Q3
127,4,0.19499999657273293,0.8775212466716766,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.75,560.75,-674.0,Q1
128,4,0.6574999913573265,0.8880385905504227,10.0,0.0,0.18576500564813614,-0.18576500564813614,0.0,0.5,-0.5,1012.0,423.75,-588.25,Q2
129,4,0.9349999725818634,0.8893326818943024,10.0,0.0,0.0,0.0,0.0,0.0,0.0,151.75,99.25,-52.5,Q4
130,4,0.9099999815225601,0.8891342431306839,10.0,0.14752370864152908,0.31546488404273987,-0.16794117540121078,0.5,0.5,0.0,168.25,13.0,-155.25,Q4
131,4,0.7212499678134918,0.8923071771860123,10.0,0.0,0.2299986481666565,-0.2299986481666565,0.0,0.5,-0.5,134.75,36.75,-98.0,Q2
132,4,0.6487499922513962,0.871113583445549,10.0,0.0,0.0,0.0,0.0,0.0,0.0,486.5,308.75,-177.75,Q1
133,4,0.5337499822489917,0.8699298948049545,10.0,0.0,0.0,0.0,0.0,0.0,0.0,350.75,143.25,-207.5,Q1
134,4,0.8224999755620956,0.8924233615398407,10.0,0.10766914486885071,0.25,-0.1423308551311493,0.25,0.25,0.0,137.75,351.25,213.5,Q3
135,4,0.6612499728798866,0.8851690888404846,10.0,0.0,0.0,0.0,0.0,0.0,0.0,712.5,453.75,-258.75,Q2
136,4,0.794999971985817,0.890003889799118,10.0,0.0,0.07226620614528656,-0.07226620614528656,0.0,0.25,-0.25,362.0,47.25,-314.75,Q3
137,4,0.7262499779462814,0.8808614313602448,10.0,0.15773244202136993,0.125,0.032732442021369934,0.25,0.25,0.0,356.25,309.0,-47.25,Q2
138,4,0.6524999812245369,0.8779163360595703,10.0,0.0,0.0,0.0,0.0,0.0,0.0,276.75,335.25,58.5,Q2
139,4,0.8849999755620956,0.890682190656662,10.0,0.0,0.0,0.0,0.0,0.0,0.0,511.5,599.25,87.75,Q4
