user_index,candidate_row_index,sampled_order,utility_popularity,coherence,history_length,v1_rank,v1_hit10,v1_ndcg10,core_rank,core_hit10,core_ndcg10,delta_ndcg10,delta_hit10,delta_rank,dataset
65,185,2,0.949999988079071,0.8875454664230347,10,830,0.0,0.0,2340,0.0,0.0,0.0,0.0,1510,ML1M
65,209,3,0.9899999499320984,0.8981436491012573,10,409,0.0,0.0,529,0.0,0.0,0.0,0.0,120,ML1M
66,7,0,0.7999999523162842,0.8997392654418945,10,183,0.0,0.0,68,0.0,0.0,0.0,0.0,-115,ML1M
66,11,1,0.8299999833106995,0.890221893787384,10,36,0.0,0.0,2,1.0,0.6309297680854797,-0.6309297680854797,-1.0,-34,ML1M
66,18,2,0.9300000071525574,0.8993785977363586,10,21,0.0,0.0,14,0.0,0.0,0.0,0.0,-7,ML1M
66,19,3,0.9899999499320984,0.8987528681755066,10,2,1.0,0.6309297680854797,1,1.0,1.0,-0.36907023191452026,0.0,-1,ML1M
67,84,0,0.949999988079071,0.8643926382064819,10,84,0.0,0.0,12,0.0,0.0,0.0,0.0,-72,ML1M
67,159,1,0.949999988079071,0.8898669481277466,10,130,0.0,0.0,63,0.0,0.0,0.0,0.0,-67,ML1M
67,222,2,0.5600000023841858,0.8790281414985657,10,256,0.0,0.0,12,0.0,0.0,0.0,0.0,-244,ML1M
67,380,3,0.4599999785423279,0.8772962689399719,10,2,1.0,0.6309297680854797,1,1.0,1.0,-0.36907023191452026,0.0,-1,ML1M
68,23,0,0.9249999523162842,0.8951752781867981,10,34,0.0,0.0,54,0.0,0.0,0.0,0.0,20,ML1M
68,30,1,0.9699999690055847,0.8851703405380249,10,8,1.0,0.31546488404273987,7,1.0,0.3333333432674408,-0.017868459224700928,0.0,-1,ML1M
68,32,2,0.9199999570846558,0.8846453428268433,10,30,0.0,0.0,6,1.0,0.3562071919441223,-0.3562071919441223,-1.0,-24,ML1M
68,99,3,0.7799999713897705,0.8889171481132507,10,149,0.0,0.0,102,0.0,0.0,0.0,0.0,-47,ML1M
69,16,0,0.9699999690055847,0.902106761932373,10,5,1.0,0.38685283064842224,6,1.0,0.3562071919441223,0.030645638704299927,0.0,1,ML1M
69,18,1,0.6800000071525574,0.911149799823761,10,225,0.0,0.0,136,0.0,0.0,0.0,0.0,-89,ML1M
69,26,2,0.9399999976158142,0.8990064859390259,10,183,0.0,0.0,580,0.0,0.0,0.0,0.0,397,ML1M
69,34,3,1.0,0.9053515195846558,10,91,0.0,0.0,22,0.0,0.0,0.0,0.0,-69,ML1M
70,4,0,0.8100000023841858,0.8730780482292175,10,508,0.0,0.0,685,0.0,0.0,0.0,0.0,177,ML1M
70,44,1,0.9099999666213989,0.889735996723175,10,73,0.0,0.0,50,0.0,0.0,0.0,0.0,-23,ML1M
70,50,2,0.9399999976158142,0.8921175003051758,10,209,0.0,0.0,103,0.0,0.0,0.0,0.0,-106,ML1M
70,62,3,0.7799999713897705,0.8794103860855103,10,383,0.0,0.0,130,0.0,0.0,0.0,0.0,-253,ML1M
71,4,0,0.9199999570846558,0.8688092231750488,10,504,0.0,0.0,1813,0.0,0.0,0.0,0.0,1309,ML1M
71,8,1,0.8499999642372131,0.8913409113883972,10,68,0.0,0.0,20,0.0,0.0,0.0,0.0,-48,ML1M
71,14,2,0.8799999952316284,0.8850055932998657,10,46,0.0,0.0,7,1.0,0.3333333432674408,-0.3333333432674408,-1.0,-39,ML1M
71,21,3,0.9199999570846558,0.8833128213882446,10,99,0.0,0.0,21,0.0,0.0,0.0,0.0,-78,ML1M
72,0,0,0.35999998450279236,0.8829303979873657,10,1542,0.0,0.0,771,0.0,0.0,0.0,0.0,-771,ML1M
72,9,1,0.949999988079071,0.8880201578140259,10,452,0.0,0.0,1235,0.0,0.0,0.0,0.0,783,ML1M
72,10,2,0.6800000071525574,0.88978511095047,10,1464,0.0,0.0,2531,0.0,0.0,0.0,0.0,1067,ML1M
72,11,3,0.9699999690055847,0.8899831771850586,10,26,0.0,0.0,5,1.0,0.38685283064842224,-0.38685283064842224,-1.0,-21,ML1M
73,0,0,0.5999999642372131,0.8781156539916992,10,66,0.0,0.0,26,0.0,0.0,0.0,0.0,-40,ML1M
73,1,1,0.7599999904632568,0.877799391746521,10,1774,0.0,0.0,1040,0.0,0.0,0.0,0.0,-734,ML1M
73,39,2,0.949999988079071,0.8918155431747437,10,120,0.0,0.0,558,0.0,0.0,0.0,0.0,438,ML1M
73,47,3,0.8700000047683716,0.8905275464057922,10,2,1.0,0.6309297680854797,3,1.0,0.5,0.13092976808547974,0.0,1,ML1M
74,1,0,0.9699999690055847,0.8637316823005676,10,15,0.0,0.0,3,1.0,0.5,-0.5,-1.0,-12,ML1M
74,5,1,0.7199999690055847,0.8761018514633179,10,13,0.0,0.0,2,1.0,0.6309297680854797,-0.6309297680854797,-1.0,-11,ML1M
74,11,2,0.4399999976158142,0.8870348930358887,10,2,1.0,0.6309297680854797,1,1.0,1.0,-0.36907023191452026,0.0,-1,ML1M
74,26,3,0.8999999761581421,0.8703466653823853,10,59,0.0,0.0,14,0.0,0.0,0.0,0.0,-45,ML1M
75,351,0,0.7400000095367432,0.9006215333938599,10,678,0.0,0.0,98,0.0,0.0,0.0,0.0,-580,ML1M
75,384,1,0.7400000095367432,0.8936807513237,10,475,0.0,0.0,257,0.0,0.0,0.0,0.0,-218,ML1M
75,460,2,0.8899999856948853,0.8973163366317749,10,48,0.0,0.0,859,0.0,0.0,0.0,0.0,811,ML1M
75,535,3,0.7599999904632568,0.8820562362670898,10,2084,0.0,0.0,3109,0.0,0.0,0.0,0.0,1025,ML1M
76,7,0,0.8899999856948853,0.8722528219223022,10,14,0.0,0.0,2,1.0,0.6309297680854797,-0.6309297680854797,-1.0,-12,ML1M
76,55,1,0.41999998688697815,0.8861839175224304,10,2541,0.0,0.0,1135,0.0,0.0,0.0,0.0,-1406,ML1M
76,97,2,0.5899999737739563,0.8731128573417664,10,537,0.0,0.0,60,0.0,0.0,0.0,0.0,-477,ML1M
76,129,3,0.08999999612569809,0.8816323280334473,10,57,0.0,0.0,18,0.0,0.0,0.0,0.0,-39,ML1M
77,2,0,0.9399999976158142,0.8820388913154602,10,9,1.0,0.3010300099849701,1,1.0,1.0,-0.6989699900150299,0.0,-8,ML1M
77,7,1,0.7799999713897705,0.8819586038589478,10,39,0.0,0.0,41,0.0,0.0,0.0,0.0,2,ML1M
77,9,2,0.3799999952316284,0.8767303228378296,10,166,0.0,0.0,179,0.0,0.0,0.0,0.0,13,ML1M
77,13,3,0.8700000047683716,0.8662235140800476,10,14,0.0,0.0,22,0.0,0.0,0.0,0.0,8,ML1M
78,13,0,0.9599999785423279,0.9146327972412109,10,438,0.0,0.0,49,0.0,0.0,0.0,0.0,-389,ML1M
78,140,1,0.9799999594688416,0.8876573443412781,10,230,0.0,0.0,2277,0.0,0.0,0.0,0.0,2047,ML1M
78,210,2,0.8799999952316284,0.9112588167190552,10,1175,0.0,0.0,658,0.0,0.0,0.0,0.0,-517,ML1M
78,276,3,0.8999999761581421,0.9143694043159485,10,71,0.0,0.0,255,0.0,0.0,0.0,0.0,184,ML1M
79,31,0,0.8100000023841858,0.8930361866950989,10,331,0.0,0.0,984,0.0,0.0,0.0,0.0,653,ML1M
79,32,1,0.8299999833106995,0.8918677568435669,10,122,0.0,0.0,13,0.0,0.0,0.0,0.0,-109,ML1M
79,109,2,0.5899999737739563,0.8924288749694824,10,32,0.0,0.0,130,0.0,0.0,0.0,0.0,98,ML1M
79,169,3,0.6200000047683716,0.8711768388748169,10,205,0.0,0.0,13,0.0,0.0,0.0,0.0,-192,ML1M
80,1,0,0.8700000047683716,0.8642107248306274,10,747,0.0,0.0,51,0.0,0.0,0.0,0.0,-696,ML1M
80,33,1,0.7299999594688416,0.8919064402580261,10,545,0.0,0.0,529,0.0,0.0,0.0,0.0,-16,ML1M
80,35,2,1.0,0.8958972692489624,10,81,0.0,0.0,693,0.0,0.0,0.0,0.0,612,ML1M
80,47,3,1.0,0.8987095952033997,10,14,0.0,0.0,58,0.0,0.0,0.0,0.0,44,ML1M
81,20,0,0.9099999666213989,0.8877102136611938,10,143,0.0,0.0,18,0.0,0.0,0.0,0.0,-125,ML1M
81,49,1,0.9399999976158142,0.8873270750045776,10,60,0.0,0.0,11,0.0,0.0,0.0,0.0,-49,ML1M
81,71,2,0.2149999886751175,0.8623228073120117,10,34,0.0,0.0,7,1.0,0.3333333432674408,-0.3333333432674408,-1.0,-27,ML1M
81,94,3,0.04999999701976776,0.8797858357429504,10,587,0.0,0.0,864,0.0,0.0,0.0,0.0,277,ML1M
82,57,0,0.875,0.8971071243286133,10,29,0.0,0.0,17,0.0,0.0,0.0,0.0,-12,ML1M
82,130,1,0.9599999785423279,0.8944422006607056,10,64,0.0,0.0,15,0.0,0.0,0.0,0.0,-49,ML1M
82,176,2,0.8100000023841858,0.8708473443984985,10,146,0.0,0.0,4,1.0,0.43067657947540283,-0.43067657947540283,-1.0,-142,ML1M
82,194,3,0.7699999809265137,0.8992835283279419,10,61,0.0,0.0,86,0.0,0.0,0.0,0.0,25,ML1M
